Sentence,Error Explanation
"He was the most talented of the group.", "Correct sentence with no errors."
"They were waiting for the train when it started raining.", "Correct sentence with no errors."
"She don’t like to travel alone.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"He had already went to the store before she arrived.", "Incorrect verb form: 'went' should be 'gone'."
"They was planning a trip for the summer.", "Incorrect verb form: 'was' should be 'were'."
"She could of won the award if she had entered.", "Incorrect verb form: 'could of' should be 'could have'."
"He don’t know where she went.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"They have went to the concert already.", "Incorrect verb form: 'went' should be 'gone'."
"She was the most excited she had been in years.", "Correct sentence with no errors."
"He don’t understand why it happened.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"They was planning a trip to the mountains.", "Incorrect verb form: 'was' should be 'were'."
"She don’t know where he went.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"He has went to the store.", "Incorrect verb form: 'went' should be 'gone'."
"They were waiting for the bus when it started to rain.", "Correct sentence with no errors."
"She don’t like the new policy.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"He had already ate before they arrived.", "Incorrect verb form: 'ate' should be 'eaten'."
"They was happy to see their friends.", "Incorrect verb form: 'was' should be 'were'."
"She don’t understand the new policy.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"He was the most talented artist in the gallery.", "Correct sentence with no errors."
"They have went to the museum.", "Incorrect verb form: 'went' should be 'gone'."
"She was the most talented of the group.", "Correct sentence with no errors."
"He don’t understand why it happened.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"They was hoping for a better result.", "Incorrect verb form: 'was' should be 'were'."
"She could of gone to the concert if she had known.", "Incorrect verb form: 'could of' should be 'could have'."
"He had already did his homework before dinner.", "Incorrect verb form: 'did' should be 'done'."
"They were excited to go on vacation.", "Correct sentence with no errors."
"She don’t know where he is.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"He has went to the store.", "Incorrect verb form: 'went' should be 'gone'."
"They was hoping for a better outcome.", "Incorrect verb form: 'was' should be 'were'."
"She don’t like to play video games.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"He had already finished his homework before dinner.", "Correct sentence with no errors."
"They were excited about the new movie.", "Correct sentence with no errors."
"She don’t want to stay here.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"He had already gone home before she arrived.", "Correct sentence with no errors."
"They was happy with their results.", "Incorrect verb form: 'was' should be 'were'."
"She don’t know if he is coming.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"He has went to the store.", "Incorrect verb form: 'went' should be 'gone'."
"They were waiting for the bus when it started to rain.", "Correct sentence with no errors."
"She don’t like to eat out.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"He had already ate before she arrived.", "Incorrect verb form: 'ate' should be 'eaten'."
"They was looking for the missing keys.", "Incorrect verb form: 'was' should be 'were'."
"She could of gone to the concert if she had known.", "Incorrect verb form: 'could of' should be 'could have'."
"He don’t know what to do.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"They have seen that movie before.", "Correct sentence with no errors."
"She was more excited than she had ever been.", "Correct sentence with no errors."
"He don’t understand why it happened.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"They was excited for the game.", "Incorrect verb form: 'was' should be 'were'."
"She had already finished her homework before dinner.", "Correct sentence with no errors."
"He has took the wrong turn.", "Incorrect verb form: 'took' should be 'taken'."
"They were planning a trip to Europe.", "Correct sentence with no errors."
"She don’t know if he has finished.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"He was the most talented player in the team.", "Correct sentence with no errors."
"They have went to the museum.", "Incorrect verb form: 'went' should be 'gone'."
"She don’t like the new restaurant.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"He had already gone home before the party started.", "Correct sentence with no errors."
"They was hoping for a better result.", "Incorrect verb form: 'was' should be 'were'."
"She don’t want to stay.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"He has already finished his work.", "Correct sentence with no errors."
"They were excited about the upcoming event.", "Correct sentence with no errors."
"She don’t like to eat late.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"He had already went home before the rain started.", "Incorrect verb form: 'went' should be 'gone'."
"They was planning a surprise party for her.", "Incorrect verb form: 'was' should be 'were'."
"She could of gone to the concert if she had known.", "Incorrect verb form: 'could of' should be 'could have'."
"He don’t know if he can come.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"They have went to the concert.", "Incorrect verb form: 'went' should be 'gone'."
"She was the most excited she had been in years.", "Correct sentence with no errors."
"He don’t understand why it happened.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"They was planning a trip to the mountains.", "Incorrect verb form: 'was' should be 'were'."
"She don’t know where he went.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"He has went to the store.", "Incorrect verb form: 'went' should be 'gone'."
"They were waiting for the bus when it started to rain.", "Correct sentence with no errors."
"She don’t like the new policy.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"He had already ate before they arrived.", "Incorrect verb form: 'ate' should be 'eaten'."
"They was happy to see their friends.", "Incorrect verb form: 'was' should be 'were'."
"She don’t understand the new policy.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"He was the most talented artist in the gallery.", "Correct sentence with no errors."
"They have went to the museum.", "Incorrect verb form: 'went' should be 'gone'."
"She was the most talented of the group.", "Correct sentence with no errors."
"He don’t understand why it happened.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"They was hoping for a better result.", "Incorrect verb form: 'was' should be 'were'."
"She could of gone to the concert if she had known.", "Incorrect verb form: 'could of' should be 'could have'."
"He had already did his homework before dinner.", "Incorrect verb form: 'did' should be 'done'."
"They were excited to go on vacation.", "Correct sentence with no errors."
"She don’t know where he is.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"He has went to the store.", "Incorrect verb form: 'went' should be 'gone'."
"They was hoping for a better outcome.", "Incorrect verb form: 'was' should be 'were'."
"She don’t like to play video games.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"He had already finished his homework before dinner.", "Correct sentence with no errors."
"They were excited about the new movie.", "Correct sentence with no errors."
"She don’t want to stay here.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"He had already gone home before she arrived.", "Correct sentence with no errors."
"They was happy with their results.", "Incorrect verb form: 'was' should be 'were'."
"She don’t know if he is coming.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"He has went to the store.", "Incorrect verb form: 'went' should be 'gone'."
"They were waiting for the bus when it started to rain.", "Correct sentence with no errors."
"She don’t like to eat out.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"He had already ate before she arrived.", "Incorrect verb form: 'ate' should be 'eaten'."
"They was looking for the missing keys.", "Incorrect verb form: 'was' should be 'were'."
"She could of gone to the concert if she had known.", "Incorrect verb form: 'could of' should be 'could have'."
"He don’t know what to do.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"They have seen that movie before.", "Correct sentence with no errors."
"She was more excited than she had ever been.", "Correct sentence with no errors."
"He don’t understand why it happened.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"They was excited for the game.", "Incorrect verb form: 'was' should be 'were'."
"She had already finished her homework before dinner.", "Correct sentence with no errors."
"He has took the wrong turn.", "Incorrect verb form: 'took' should be 'taken'."
"They were planning a trip to Europe.", "Correct sentence with no errors."
"She don’t know if he has finished.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"He was the most talented player in the team.", "Correct sentence with no errors."
"They have went to the museum.", "Incorrect verb form: 'went' should be 'gone'."
